"sample_id","job_id"
"44be05c9730a","absolute_zero-current-opening"
"dc6598ade537","absolute_zero-current-reply"
"62aaa3478337","absolute_zero-verbose-opening"
"9ac2aa9c8bd7","absolute_zero-verbose-reply"
"4cf16443da71","absolute_zero-direct-opening"
"4bceba8abcff","absolute_zero-direct-reply"
"cd0057d3e0be","absolute_zero-compact-opening"
"80b163dfaf47","absolute_zero-compact-reply"
"07394574bc2d","beginner-verbose-opening"
"9ca776b7db9c","beginner-verbose-reply"
"096034b2da5d","beginner-direct-opening"
"17e5e31352c6","beginner-direct-reply"
"3d97e76a8ec4","beginner-compact-opening"
"9be982fbfe0d","beginner-compact-reply"
"f1ffec726414","beginner-current-opening"
"da6c901bd9f4","beginner-current-reply"
"63b46f5e2924","intermediate-direct-opening"
"969946481d06","intermediate-direct-reply"
"874b19c87372","intermediate-compact-opening"
"493dc500a3ec","intermediate-compact-reply"
"460dd1b75d80","intermediate-current-opening"
"77d3cdbb871e","intermediate-current-reply"
"dff66170f7c0","intermediate-verbose-opening"
"bf85911134df","intermediate-verbose-reply"
"5b448e881388","advanced-compact-opening"
"cc72efc2468a","advanced-compact-reply"
"b97b1eb23111","advanced-current-opening"
"e8a6d1a7a4d4","advanced-current-reply"
"6c7e81515a3e","advanced-verbose-opening"
"0b65aa275288","advanced-verbose-reply"
"4130b4b22a0d","advanced-direct-opening"
"0369882f45ba","advanced-direct-reply"
"abea158b4461","fluent-current-opening"
"feeec821c201","fluent-current-reply"
"61637d38aa7b","fluent-verbose-opening"
"904eedb880a4","fluent-verbose-reply"
"9964d227b44d","fluent-direct-opening"
"9483abc7ad7d","fluent-direct-reply"
"819a35656205","fluent-compact-opening"
"7ba2456466d9","fluent-compact-reply"
